Symbol	Description
CS	Capstone Mining Corp
CSAV	CI First Asset High Interest Savings ETF
CSD	Ishares Short Dur HI Inc ETF CAD Hgd
CSE.PR.A	Capstone Infrastructure Corp Pref A
CSH.UN	Chartwell Retirement Residences
CSM	Clearstream Energy Services Inc
CSU	Constellation Software Inc
CSU.DB	Constellation Software Inc Debs Ser 1
CSW.A	Corby Spirit and Wine Ltd Class A
CSW.B	Corby Spirit and Wine Ltd Class B
CSY	CI First Asset Core Can Equity Inc Class ETF
CTC	Canadian Tire Corporation Limited
CTC.A	Canadian Tire Corporation Cl A NV
CTF.UN	Citadel Income Fund
CTX	Crescita Therapeutics Inc
CU	Canadian Utilities Ltd Cl.A NV
CU.PR.C	Canadian Utilities Limited Pref Ser C
CU.PR.D	Canadian Utilities Ltd Pr Series Aa
CU.PR.E	Canadian Utilities Ltd Pref Ser Bb
CU.PR.F	Canadian Utilities Ltd Pref Ser CC
CU.PR.G	Canadian Utilities Ltd Pref Ser Dd
CU.PR.H	Canadian Utilities Ltd Pref Ser Ee
CU.PR.I	Canadian Utilities Ltd Pref Ser Ff
CU.X	CDN Util Cl B
CUD	Ishares S&P US Div Growers ETF
CUF.UN	Cominar R E Un
CUP.U	Caribbean Util US
CVD	Ishares Convertible Bond Index ETF
CVE	Cenovus Energy Inc
CVG	Clairvest Group
CWB	CDN Western Bank
CWB.PR.B	Canadian Western Bank Pref Ser 5
CWB.PR.C	Canadian Western Bank Pref Ser 7
CWB.PR.D	Canadian Western Bank Pref Series 9
CWEB	Charlotte's Web Holdings Inc
CWEB.WT	Charlottes Web Holdings Inc
CWL	Caldwell Partners International Inc
CWW	Ishares S&P Global Water ETF
CWX	Canwel Building Materials Group Ltd
CWX.NT.A	Canwel Build Materials 6.375 Pct Notes
CXB	Calibre Mining Corp
CXF	CI First Asset CDN Convert Bond ETF
CXI	Currency Exchange International Corp
CYB	Cymbria Corporation Cl A
CYBR	Evolve Cyber Security Index Hgd ETF
CYBR.B	Evolve Cyber Security Index Uh ETF
CYBR.U	Evolve Cyber Security Index Uh Fund USD
CYH	Ishares Global Monthly Dividend ETF
D.UN	Dream Office REIT
DANC	Desjardins Lng Shrt Eqty Mkt Ntrl ETF
DBO	Dbox Technologies Inc
DC.A	Dundee Corp Cl.A Sv
DC.PR.B	Dundee Corp First Pref Ser 2
DC.PR.D	Dundee Corp Pref Ser 3
DCBO	Docebo Inc
DCC	Desjardins 1To5 Yr Lad CDN Corp Bd ETF
DCG	Desjardins 1To5 Yr Lad CDN Govt Bd ETF
DCM	Data Communications Mgmt Corp
DCP	Desjardins CDN Pref Share ETF
DCS	Desjardins CDN Short Term Bd ETF
DCU	Desjardins CDN Universe Bond Index ETF
DEE	Delphi Energy Corp
DEE.NT	Delphi Energy Corp 10 Pct Notes
DEE.WT.A	Delphi Energy Corp Class A Wts
DF	Dividend 15 Split Corp II
DF.PR.A	Dividend 15 Split Corp II Prf
DFC	Desjardins Cda Multifactor Ctrl Vol ETF
DFD	Desjardins Dev Xus Xcda Mltifact Vol ETF
DFE	Desjardins EM Multifactor-Controlled Volatility
DFN	Dividend 15 Split Corp
DFN.PR.A	Dividend 15 Split Corp
DFU	Desjardins USA Multifactor Ctrl Vol ETF
DGR	Wisdomtree US Qlty Div Gwth ETF
DGR.B	Wisdomtree US Qlty Div Gwth ETF NH
DGRC	Wisdomtree CDN Quality Div Grth Idx ETF
DGS	Dividend Growth Split Corp Class A
DGS.PR.A	Dividend Growth Split Corp Pref
DIAM	Star Diamond Corp
DII.A	Dorel Industries Inc Cl.A Mv
DII.B	Dorel Industries Inc Cl.B Sv
DIR.UN	Dream Industrial REIT
DISC	BMO Glb Consumer Disc Hgd To CAD ETF
DIV	Diversified Royalty Corp
DIV.DB	Diversified Royalty Corp 5.25 Pct Debs
DIVS	Evolve Active CDN Pref Share ETF
DLR	Horizons US Dollar Currency ETF
DLR.U	Horizons US Dollar Currency ETF USD
DML	Denison Mines Corp
DN	Delta 9 Cannabis Inc
DN.DB	Delta 9 Cannabis Inc 8.5 Pct Debs
DN.WT.A	Delta 9 Cannabis Inc WT A
DNG	Dynacor Gold Mines Inc
DNT	Candente Copper Corp
DOL	Dollarama Inc
DOO	Brp Inc
DPM	Dundee Precious Metals Inc
DQD	Wisdomtree US Qlty Div Gwth Var Hgd ETF
DQI	Wisdomtree Intl Qlty Div Gwth Var Hgd
DR	Medical Facilities Corp
DRA.UN	Dream Hard Asset Alternatives Trust
DRCU	Desjardins RI Active Canadian Bond-Low C
DRFC	Desjardins RI Cda Multi Low Co2 ETF
DRFD	Desjardins RI Dev Ex USA Ex Cda Co2 ETF
DRFE	Desjardins Emerging Mkts Low Co2 ETF
DRFG	Desjardins Gbl Fossil Fuel Res Free ETF
DRFU	Desjardins RI USA Multi Low Co2 ETF
DRM	Dream Unlimited Corp
DRMC	Desjardins RI Canada-Low Co2 Index ETF
DRMU	Desjardins RI USA Low Co2 Index ETF
DRT	Dirtt Environmental Solutions Ltd
DRX	Adf Group Inc Sv
DS	Dividend Select 15 Corp
DSG	Descartes Sys
DXB	Dynamic Ishares Act Tactical Bond ETF
DXC	Dyn Ishares Active CDN Div ETF
DXF	Dynamic Ishares Act Global Fin Ser ETF
DXG	Dyn Ishares Active Global Div ETF
DXI	Dxi Energy Inc
DXM	CI First Asset Morningstar Cda Div Tgt 30 ETF
DXN	Dynamic Active Global Infrastructure ETF
DXO	Dyn Ishares Act Crossover Bond ETF
DXP	Dyn Ishares Active Pref Shares ETF
DXU	Dyn Ishares Active US Div ETF
DXV	Dyn Ishares Act Inv Grd Flot Rt ETF
DXW	Dynamic Active Intl Dividend ETF
DXZ	Dynamic Ishares Acitve US Mid Cap ETF
E	Enterprise Group Inc
EARN	Evolve Active Global Fixed Income ETF
ECF.UN	East Coast Invest Grade Income Fd
ECN	Ecn Capital Corp
ECN.PR.A	Ecn Capital Corp Pref Ser A
ECN.PR.C	Ecn Capital Corp Pref Ser C
ECO	Ecosynthetix Inc
EDGE	Evolve Innovation Index ETF
EDGF	Brompton European Div Growth ETF
EDR	Endeavour Silver Corp
EDT	Spectral Medical Inc
EDV	Endeavour Mining Corp
EF.UN	European Focused Dividend Fund
EFH	Echelon Financial Holdings Inc
EFL	Electrovaya Inc
EFN	Element Fleet Management Corp
EFN.DB.A	Element Fleet Mgmt Corp 4.25 Pct Debs
EFN.DB.B	Element Fleet Management 4.25 Pct Debs
EFN.PR.A	Element Fleet Mgmt Corp Pref Ser A
EFN.PR.C	Element Fleet Mgmt Corp Pref Ser C
EFN.PR.E	Element Fleet Mgmt Corp Pref Ser E
EFN.PR.G	Element Fleet Mgmt Corp Pref Ser G
EFN.PR.I	Element Fleet Mgmt Corp Pref Ser I
EFR	Energy Fuels Inc
EFR.DB	Energy Fuels Inc Debs
EFR.WT	Energy Fuels Inc WT
EFX	Enerflex Ltd
EGIF	Exemplar Growth and Income Fund ETF
EGLX	Enthusiast Gaming Holdings Inc
EHE	Wisdomtree Europe Hedged Eqty ETF
EHE.B	Wisdomtree Europe Hedged Eqty ETF NH
EIF	Exchange Income Corp
EIF.DB.H	Exchange Income Corp 5.25 Pct Debs
EIF.DB.I	Exchange Income Corp 5.25 Pct Debs
EIF.DB.J	Exchange Income Corp 5.35 Pct Debs
EIF.DB.K	Exchange Income Corp 5.75 Pct Debs
EIT.PR.A	Canoe Eit Income Fund Pref Ser 1
EIT.PR.B	Canoe Eit Income Fund Pref Ser 2
EIT.UN	Canoe Eit Income Fund Units
ELD	Eldorado Gold
