Date,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Vol_10wk_ma,Close_10wk_ma,Close_40wk_ma,Close_5d_ma,Close_10d_ma,Close_20d_ma,DailyLag,DailyReturn
2017-12-08,2017-12-08,1170.4,1172.79,1157.1,1162.0,2957785.0,0.0,1.0,1170.4,1172.79,1157.1,1162.0,2957785.0,4827873.92,1370.0532857142853,,1166.8779999999983,1174.3869999999984,1185.281499999999,1168.92,0.005955249569707499
2017-12-07,2017-12-07,1156.59,1163.19,1151.0,1159.79,2408323.0,0.0,1.0,1156.59,1163.19,1151.0,1159.79,2408323.0,4751706.5,1364.0237142857138,,1163.983999999998,1172.889999999998,1180.927499999999,1162.0,0.0019055173781461487
2017-12-06,2017-12-06,1137.99,1155.89,1136.08,1152.35,2756730.0,0.0,1.0,1137.99,1155.89,1136.08,1152.35,2756730.0,4679073.62,1357.8214285714282,,1161.6279999999983,1170.3629999999982,1177.087999999999,1159.79,0.006456371762051605
2017-12-05,2017-12-05,1128.26,1159.27,1124.74,1141.57,4033184.0,0.0,1.0,1128.26,1159.27,1124.74,1141.57,4033184.0,4671519.72,1352.0591428571427,,1156.925999999998,1165.781999999998,1173.686999999999,1152.35,0.009443135331166808
2017-12-04,2017-12-04,1173.85,1175.2,1128.0,1133.95,5872358.0,0.0,1.0,1173.85,1175.2,1128.0,1133.95,5872358.0,4677004.66,1345.805857142857,,1149.9319999999982,1160.1189999999983,1170.174499999999,1141.57,0.006719873010273769
2017-12-01,2017-12-01,1172.05,1179.65,1152.0,1162.35,4070722.0,0.0,1.0,1172.05,1179.65,1152.0,1162.35,4070722.0,4640794.34,1339.8062857142857,,1150.0019999999981,1158.4399999999982,1168.841499999999,1133.95,-0.02443326020561787
2017-11-30,2017-11-30,1167.1,1178.57,1160.0,1176.75,4406535.0,0.0,1.0,1167.1,1178.57,1160.0,1176.75,4406535.0,4611747.84,1333.8884285714284,,1153.3939999999982,1158.6889999999983,1169.205499999999,1162.35,-0.012237093690248613
2017-11-29,2017-11-29,1194.8,1194.8,1145.19,1161.27,9179567.0,0.0,1.0,1194.8,1194.8,1145.19,1161.27,9179567.0,4661694.9,1327.7897142857144,,1155.177999999998,1158.4029999999984,1167.963999999999,1176.75,0.013330233279082337
2017-11-28,2017-11-28,1204.88,1205.34,1188.52,1193.6,4463476.0,0.0,1.0,1204.88,1205.34,1188.52,1193.6,4463476.0,4475206.7,1322.007,,1165.5839999999982,1161.2549999999985,1168.530999999999,1161.27,-0.027086126005361866
2017-11-27,2017-11-27,1202.66,1213.41,1191.15,1195.83,6701343.0,0.0,1.0,1202.66,1213.41,1191.15,1195.83,6701343.0,4447062.36,1316.5347142857145,,1177.9599999999982,1163.9459999999985,1169.4844999999991,1193.6,-0.0018648135604559801
2017-11-24,2017-11-24,1160.7,1186.84,1160.7,1186.0,3526582.0,0.0,1.0,1160.7,1186.84,1160.7,1186.0,3526582.0,4376257.44,1311.308142857143,,1182.6899999999982,1166.3459999999984,1170.3664999999992,1195.83,0.00828836424957835
2017-11-22,2017-11-22,1141.0,1160.27,1141.0,1156.16,3516336.0,0.0,1.0,1141.0,1160.27,1141.0,1156.16,3516336.0,4231104.9,1305.7532857142858,,1178.5719999999983,1165.9829999999984,1169.4364999999993,1186.0,0.02580957652920013
2017-11-21,2017-11-21,1132.86,1140.0,1128.2,1139.49,2449503.0,0.0,1.0,1132.86,1140.0,1128.2,1139.49,2449503.0,4064968.32,1300.0654285714288,,1174.215999999998,1164.6969999999983,1167.5299999999993,1156.16,0.014629351727527329
2017-11-20,2017-11-20,1129.77,1133.42,1122.55,1126.31,2134381.0,0.0,1.0,1129.77,1133.42,1122.55,1126.31,2134381.0,3889336.7,1294.3897142857145,,1160.757999999998,1163.1709999999982,1164.4764999999993,1139.49,0.011701929308982395
2017-11-17,2017-11-17,1138.28,1138.8,1125.81,1129.88,2333554.0,0.0,1.0,1138.28,1138.8,1125.81,1129.88,2333554.0,3779748.72,1289.0987142857145,,1147.567999999998,1162.763999999998,1161.4414999999995,1126.31,-0.0031596275710696897
2017-11-16,2017-11-16,1130.16,1138.16,1130.05,1137.29,2190456.0,0.0,1.0,1130.16,1138.16,1130.05,1137.29,2190456.0,3699149.92,1284.0107142857146,,1137.825999999998,1160.2579999999982,1159.3489999999995,1129.88,-0.006515488573714534
2017-11-15,2017-11-15,1127.01,1131.75,1121.63,1126.69,3897230.0,0.0,1.0,1127.01,1131.75,1121.63,1126.69,3897230.0,3662364.28,1278.4998571428575,,1131.9319999999982,1155.2519999999981,1156.9704999999994,1137.29,0.009408089181584867
2017-11-14,2017-11-14,1130.11,1138.0,1123.89,1136.84,3042295.0,0.0,1.0,1130.11,1138.0,1123.89,1136.84,3042295.0,3610630.34,1273.1407142857145,,1131.4019999999982,1152.8089999999982,1155.6059999999993,1126.69,-0.008928257274550377
2017-11-13,2017-11-13,1123.0,1139.9,1122.34,1129.17,2897563.0,0.0,1.0,1123.0,1139.9,1122.34,1129.17,2897563.0,3576899.96,1267.5295714285717,,1131.9739999999983,1146.3659999999982,1153.8104999999991,1136.84,0.006792599874243743
2017-11-10,2017-11-10,1126.1,1131.75,1124.06,1125.35,2162985.0,0.0,1.0,1126.1,1131.75,1124.06,1125.35,2162985.0,3527722.42,1262.177428571429,,1131.0679999999984,1139.3179999999982,1151.6319999999992,1129.17,0.0033944994890480196
2017-11-09,2017-11-09,1125.96,1129.62,1115.77,1129.13,3661411.0,0.0,1.0,1125.96,1129.62,1115.77,1129.13,3661411.0,3466348.96,1257.0970000000004,,1129.4359999999983,1133.6309999999983,1149.9884999999992,1125.35,-0.0033477101839470835
2017-11-07,2017-11-07,1124.74,1130.6,1117.5,1123.17,2623474.0,0.0,1.0,1124.74,1130.6,1117.5,1123.17,2623474.0,3417683.16,1251.957714285715,,1128.7319999999986,1130.3319999999983,1148.1574999999993,1129.13,0.00530640953729189
